DATEREAD,COLLECTOR,DEPTH,COMMENT,SURFACE,METER1,METER2,METER3,METER4,METER5,METER6,METER7,METER8,METER9,METER10,METER11,METER12,BOTTOM,SECCHI
23-Jul-20,DCR,12,feels like 12m is on bottom,26.1,26.1,26.1,25.9,24.4,19.8,15.7,13.4,11.8,10.3,9,8.4,7.8,NA,4.6
30-Jul-20,DCR,12,NA,25.8,26.1,26.1,26.2,24.9,20.5,17.3,14.4,12.2,10.5,9.2,8.2,7.8,NA,4.55
7-Aug-20,DCR,12,"Secchi: 4.05, side of dock",24,24.3,24.4,24.5,24.4,21,17.7,14.8,11.9,10.2,9.3,8.4,7.8,NA,4.6
13-Aug-20,DCR,12,"Secchi: 5.25m, side dock",25.3,25.5,25.6,25.6,25,22.7,18.3,14.7,12.5,10.8,9.8,8.9,8.1,NA,6.5
20-Aug-20,DCR,12,NA,23.4,23.6,23.7,23.8,23.8,22.7,17.2,15,12.6,10.4,9.4,8.5,7.8,NA,6.15
27-Aug-20,DCR,12,NA,23.4,23.5,23.6,23.7,23.7,23.5,18.6,15.1,12.1,10.8,9.3,8.4,8,NA,5.25
3-Sep-20,DCR,12,NA,21.8,21.9,21.9,21.9,21.9,21.9,19.3,15.7,13,11.2,9.7,8.7,8,NA,6.05
10-Sep-20,DCR,12,NA,22.5,22.6,22.5,22.3,22.1,22,19.4,16.1,12.9,11,9.7,8.8,8.1,NA,6.1
17-Sep-20,DCR,12,NA,19.1,19.3,19.3,19.4,19.4,19.4,19.4,16.5,13.3,11.3,9.7,8.9,8.3,NA,5.7
1-Oct-20,DCR,12,NA,17.7,17.9,17.9,18,18,17.5,17.3,16.3,14.1,11.4,10,9,8.4,NA,5.75
8-Oct-20,DCR,12,NA,15.8,16.1,16.1,16.2,16.2,16.2,16.2,16.1,13.8,11.5,10,9.1,8.4,NA,5.75
15-Oct-20,DCR,12,NA,14.4,14.5,14.6,14.6,14.6,14.6,14.7,14.6,14.6,11.4,10.2,9.2,8.6,NA,5.75
22-Oct-20,DCR,12,close to bottom,14.5,14.3,14.2,14.1,14.1,14,14,13.9,13.9,12.6,10.1,9.1,8.2,NA,3
29-Oct-20,DCR,12,close to bottom,13,13,13,13,13,13,13,13,13,12.4,10.7,9.3,8.5,NA,3.35
5-Nov-20,DCR,12,NA,10.5,10.3,10.2,10.1,10.1,10,10,9.9,9.9,9.9,9.9,9.8,9.8,NA,4.15
12-Nov-20,DCR,12,a little above 12m,11.8,11.7,11.4,11.2,10.9,10.4,10.1,10,10,9.9,9.8,9.7,9.2,NA,3.45
19-Nov-20,DCR,12,NA,8,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.2,8.2,8.2,8.2,NA,4.25
25-Nov-20,DCR,12,NA,7.7,7.7,7.6,7.6,7.5,7.5,7.5,7.5,7.5,7.5,7.4,7.4,7.5,NA,3.9
2-Dec-20,DCR,12,NA,7.1,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,NA,4.65
9-Dec-20,DCR,12,NA,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,NA,5.9
15-Dec-20,DCR,12,NA,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5,5,5,5,5,5,NA,3.8
23-Dec-20,DCR,12,ice cover 5%,3.1,3,3,3.2,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.6,NA,5.2
30-Dec-20,DCR,12,"ice cover 50%, chl taken in hatch",1.7,2,2.1,2.3,2.3,2.5,2.6,2.6,2.7,3.1,3.2,3.4,3.4,NA,2.85
6-Jan-21,DCR,12,NA,2.9,2.7,2.6,2.6,2.6,2.6,2.7,2.8,2.8,3,3.1,3.2,3.4,NA,3.7
13-Jan-21,DCR,12,NA,2.9,2.8,2.8,2.7,2.6,2.6,2.6,2.7,2.8,2.9,3.1,3.2,3.4,NA,3.3
20-Jan-21,DCR,12,NA,2.5,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,3,3.1,3.3,3.4,NA,2.45
27-Jan-21,DCR,12,NA,1,2.7,3,3,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.5,NA,NA
3-Feb-21,DCR,12,NA,1,2.8,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.5,NA,NA
10-Feb-21,DCR,12,NA,0.8,2.4,2.9,3.1,3.1,3.1,3.2,3.2,3.2,3.3,3.4,3.5,3.6,NA,NA
17-Feb-21,DCR,12,NA,0.2,1.7,2.5,2.7,3,3.1,3.1,3.2,3.3,3.4,3.4,3.3,3.4,NA,NA
24-Feb-21,DCR,12,NA,1.7,2.3,3,3.2,3.3,3.3,3.3,3.3,3.4,3.4,3.5,3.5,3.5,NA,NA
3-Mar-21,DCR,12,NA,0.9,2.5,3.2,3.3,3.4,3.4,3.4,3.4,3.5,3.5,3.4,3.4,3.4,NA,NA
10-Mar-21,DCR,12,NA,2.5,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,NA,NA
17-Mar-21,DCR,12,NA,2.2,4.3,4.4,4.3,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4,4,NA,NA
24-Mar-21,DCR,12,NA,5.7,5.5,5.1,4.9,4.9,4.8,4.7,4.5,4.4,4.3,4.2,4.1,4.2,NA,5.9
31-Mar-21,DCR,12,NA,7.5,6.9,6.8,6.6,6.5,6.5,6.4,6.2,6,5.9,5.1,4.9,4.7,NA,4.65
7-Apr-21,DCR,12,NA,9.3,8.1,7.6,7.2,6.8,6.6,6.4,6.3,6.2,6,5.9,5.7,5.6,NA,4
14-Apr-21,DCR,12,NA,13.9,12.7,11.9,10.8,8.9,8,7.4,6.9,6.6,6.3,6.1,6,5.8,NA,4.85
21-Apr-21,DCR,12,NA,11.6,11.1,11,10.8,9.4,8.2,7.5,6.9,6.5,6.1,6,5.8,5.8,NA,6.5
28-Apr-21,DCR,12,NA,14,12.6,12.2,11.3,10.9,10.3,9.6,7.8,6.9,6.5,6.2,5.9,5.9,NA,7.9
5-May-21,DCR,12,NA,13.6,13.7,13.5,12.7,12.1,11,9.1,7.9,7.2,6.7,6.3,6.1,5.9,NA,7.8
12-May-21,DCR,12,NA,13.9,13.5,12.8,12.5,12.4,11.7,10,8.7,7.8,7.1,6.7,6.4,6.1,NA,5.5
19-May-21,DCR,12,NA,19.5,17.9,16.8,15,13.9,12.8,11.1,9.7,8.5,7.5,6.6,6.3,6.1,NA,4
26-May-21,DCR,12,NA,21.5,20.5,20.3,16.8,15.1,13.1,11.7,9.8,8.2,7.3,6.6,6.3,6.2,NA,5.6
